 newpage:
#   no. =  3   reg =      3

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l   n 
#  e-lower      e-upper      neutron     r.err 
   1.0000E-08   1.2388E-08   7.5468E-07  0.0130
   1.2388E-08   1.5347E-08   1.0516E-06  0.0139
   1.5347E-08   1.9012E-08   1.4143E-06  0.0123
   1.9012E-08   2.3553E-08   1.8555E-06  0.0116
   2.3553E-08   2.9178E-08   2.3271E-06  0.0113
   2.9178E-08   3.6146E-08   2.8198E-06  0.0117
   3.6146E-08   4.4779E-08   3.1984E-06  0.0112
   4.4779E-08   5.5473E-08   3.4053E-06  0.0113
   5.5473E-08   6.8722E-08   3.2956E-06  0.0120
   6.8722E-08   8.5134E-08   2.8819E-06  0.0119
   8.5134E-08   1.0547E-07   2.2010E-06  0.0125
   1.0547E-07   1.3065E-07   1.4383E-06  0.0137
   1.3065E-07   1.6186E-07   7.9853E-07  0.0160
   1.6186E-07   2.0051E-07   3.8322E-07  0.0195
   2.0051E-07   2.4840E-07   1.9174E-07  0.0286
   2.4840E-07   3.0773E-07   1.2613E-07  0.0352
   3.0773E-07   3.8122E-07   1.0638E-07  0.0368
   3.8122E-07   4.7226E-07   9.6608E-08  0.0375
   4.7226E-07   5.8505E-07   9.7117E-08  0.0382
   5.8505E-07   7.2478E-07   8.6686E-08  0.0395
   7.2478E-07   8.9788E-07   8.1415E-08  0.0407
   8.9788E-07   1.1123E-06   7.8117E-08  0.0422
   1.1123E-06   1.3780E-06   8.1097E-08  0.0401
   1.3780E-06   1.7071E-06   7.5926E-08  0.0450
   1.7071E-06   2.1147E-06   8.0189E-08  0.0464
   2.1147E-06   2.6198E-06   7.6386E-08  0.0432
   2.6198E-06   3.2455E-06   7.5047E-08  0.0429
   3.2455E-06   4.0206E-06   7.2882E-08  0.0415
   4.0206E-06   4.9808E-06   7.5896E-08  0.0402
   4.9808E-06   6.1703E-06   6.8756E-08  0.0419
   6.1703E-06   7.6440E-06   6.5866E-08  0.0454
   7.6440E-06   9.4696E-06   6.8375E-08  0.0443
   9.4696E-06   1.1731E-05   6.8916E-08  0.0433
   1.1731E-05   1.4533E-05   6.3690E-08  0.0461
   1.4533E-05   1.8004E-05   5.8783E-08  0.0451
